Ticker,Date,Price
BTC,7/19/21,31786.37
BTC,7/20/21,30842.04
BTC,7/21/21,29796.15
BTC,7/22/21,32152.68
BTC,7/23/21,32287.75
BTC,7/24/21,33647.27
BTC,7/25/21,34291.67
BTC,7/26/21,35251.54
BTC,7/27/21,37262.76
BTC,7/28/21,39475.99
BTC,7/29/21,40035.10
BTC,7/30/21,40039.44
BTC,7/31/21,42414.61
BTC,8/1/21,41499.00
BTC,8/2/21,39859.18
BTC,8/3/21,39149.59
BTC,8/4/21,38189.40
BTC,8/5/21,39718.90
BTC,8/6/21,40888.73
BTC,8/7/21,42869.59
BTC,8/8/21,44628.11
BTC,8/9/21,43829.15
BTC,8/10/21,46280.00
BTC,8/11/21,45601.82
BTC,8/12/21,45553.10
BTC,8/13/21,44422.15
BTC,8/14/21,47833.64
BTC,8/15/21,47109.64
BTC,8/16/21,47014.38
BTC,8/17/21,45903.22
BTC,8/18/21,44675.34
BTC,8/19/21,44709.10
BTC,8/20/21,46769.02
BTC,8/21/21,49349.99
BTC,8/22/21,48870.21
BTC,8/23/21,49284.38
BTC,8/24/21,49504.53
BTC,8/25/21,47682.45
BTC,8/26/21,48991.57
BTC,8/27/21,46851.47
BTC,8/28/21,49081.08
BTC,8/29/21,48942.89
BTC,8/30/21,48802.58
BTC,8/31/21,46996.80
BTC,9/1/21,47110.33
BTC,9/2/21,48834.27
BTC,9/3/21,49279.38
BTC,9/4/21,50025.00
BTC,9/5/21,49944.89
BTC,9/6/21,51789.17
BTC,9/7/21,52698.80
BTC,9/8/21,46894.49
BTC,9/9/21,46059.94
BTC,9/10/21,46396.26
BTC,9/11/21,44730.29
BTC,9/12/21,45173.66
BTC,9/13/21,46027.80
BTC,9/14/21,44953.23
BTC,9/15/21,47127.81
BTC,9/16/21,48144.03
BTC,9/17/21,47753.15
BTC,9/18/21,47306.87
BTC,9/19/21,48379.19
BTC,9/20/21,47358.92
BTC,9/21/21,43007.69
BTC,9/22/21,40736.81
BTC,9/23/21,43575.19
BTC,9/24/21,44896.55
BTC,9/25/21,42848.44
BTC,9/26/21,42705.51
BTC,9/27/21,43172.17
BTC,9/28/21,42166.31
BTC,9/29/21,41030.19
BTC,9/30/21,41519.11
BTC,10/1/21,43828.89
BTC,10/2/21,48165.76
BTC,10/3/21,47663.74
BTC,10/4/21,48233.99
BTC,10/5/21,49244.13
BTC,10/6/21,51499.77
BTC,10/7/21,55356.85
BTC,10/8/21,53805.46
BTC,10/9/21,53965.18
BTC,10/10/21,54963.29
BTC,10/11/21,54411.54
BTC,10/12/21,57485.97
BTC,10/13/21,56005.10
BTC,10/14/21,57367.32
BTC,10/15/21,57359.51
BTC,10/16/21,61690.32
BTC,10/17/21,60867.05
BTC,10/18/21,61530.07
BTC,10/19/21,62042.40
BTC,10/20/21,64303.14
BTC,10/21/21,66021.26
BTC,10/22/21,62204.01
BTC,10/23/21,60682.88
BTC,10/24/21,61300.02
BTC,10/25/21,60847.91
BTC,10/26/21,63081.96
BTC,10/27/21,60333.19
BTC,10/28/21,58462.73
BTC,10/29/21,60591.63
BTC,10/30/21,62379.20
BTC,10/31/21,61896.38
BTC,11/1/21,61346.17
BTC,11/2/21,60956.40
BTC,11/3/21,63266.50
BTC,11/4/21,62935.40
BTC,11/5/21,61444.49
BTC,11/6/21,61006.14
BTC,11/7/21,61539.30
BTC,11/8/21,63309.12
BTC,11/9/21,67554.13
BTC,11/10/21,66933.06
BTC,11/11/21,64912.20
BTC,11/12/21,64807.73
BTC,11/13/21,64144.42
BTC,11/14/21,64400.01
BTC,11/15/21,65505.03
BTC,11/16/21,63624.60
BTC,11/17/21,60101.56
BTC,11/18/21,60351.51
BTC,11/19/21,56898.46
BTC,11/20/21,58122.15
BTC,11/21/21,59760.76
BTC,11/22/21,58671.22
BTC,11/23/21,56280.81
BTC,11/24/21,57607.97
BTC,11/25/21,57158.58
BTC,11/26/21,58994.72
BTC,11/27/21,53757.67
BTC,11/28/21,54759.04
BTC,11/29/21,57318.51
BTC,11/30/21,57838.06
BTC,12/1/21,56998.35
BTC,12/2/21,57226.51
BTC,12/3/21,56521.45
BTC,12/4/21,53633.02
BTC,12/5/21,49235.26
BTC,12/6/21,49484.21
BTC,12/7/21,50529.56
BTC,12/8/21,50625.24
BTC,12/9/21,50520.94
BTC,12/10/21,47568.43
BTC,12/11/21,47170.94
BTC,12/12/21,49424.47
BTC,12/13/21,50089.64
BTC,12/14/21,46300.00
BTC,12/15/21,48359.23
BTC,12/16/21,48878.83
BTC,12/17/21,47634.20
BTC,12/18/21,46159.87
BTC,12/19/21,46857.49
BTC,12/20/21,46687.20
BTC,12/21/21,46926.07
BTC,12/22/21,48914.70
BTC,12/23/21,48608.61
BTC,12/24/21,50842.06
BTC,12/25/21,50852.31
BTC,12/26/21,50428.31
BTC,12/27/21,50804.33
BTC,12/28/21,50720.35
BTC,12/29/21,47542.20
BTC,12/30/21,46471.24
BTC,12/31/21,47122.09
BTC,1/1/22,46205.00
BTC,1/2/22,47733.43
BTC,1/3/22,47299.06
BTC,1/4/22,46459.57
BTC,1/5/22,45817.13
BTC,1/6/22,43446.34
BTC,1/7/22,43144.72
BTC,1/8/22,41564.57
BTC,1/9/22,41684.84
BTC,1/10/22,41876.52
BTC,1/11/22,41824.06
BTC,1/12/22,42749.84
BTC,1/13/22,43921.21
BTC,1/14/22,42576.27
BTC,1/15/22,43090.72
BTC,1/16/22,43098.20
BTC,1/17/22,43104.34
BTC,1/18/22,42214.66
BTC,1/19/22,42372.15
BTC,1/20/22,41672.14
BTC,1/21/22,40671.77
BTC,1/22/22,36835.93
BTC,1/23/22,35075.70
BTC,1/24/22,36275.28
BTC,1/25/22,36687.58
BTC,1/26/22,36980.00
BTC,1/27/22,36846.22
BTC,1/28/22,37188.37
BTC,1/29/22,37741.90
BTC,1/30/22,38189.82
BTC,1/31/22,37904.99
BTC,2/1/22,38492.53
BTC,2/2/22,38714.27
BTC,2/3/22,36923.39
BTC,2/4/22,37324.61
BTC,2/5/22,41613.75
BTC,2/6/22,41411.59
BTC,2/7/22,42416.06
BTC,2/8/22,43868.08
BTC,2/9/22,44087.58
BTC,2/10/22,44416.39
BTC,2/11/22,43521.88
BTC,2/12/22,42386.47
BTC,2/13/22,42244.91
BTC,2/14/22,42073.37
BTC,2/15/22,42548.71
BTC,2/16/22,44585.69
BTC,2/17/22,43895.55
BTC,2/18/22,40537.94
BTC,2/19/22,39993.64
BTC,2/20/22,40146.07
BTC,2/21/22,38395.99
BTC,2/22/22,37022.11
BTC,2/23/22,38251.67
BTC,2/24/22,37268.18
BTC,2/25/22,38347.30
BTC,2/26/22,39242.71
BTC,2/27/22,39146.97
BTC,2/28/22,37716.57
BTC,3/1/22,43189.61
BTC,3/2/22,44440.00
BTC,3/3/22,43916.47
BTC,3/4/22,42524.87
BTC,3/5/22,39166.50
BTC,3/6/22,39407.87
BTC,3/7/22,38406.82
BTC,3/8/22,37991.05
BTC,3/9/22,38749.16
BTC,3/10/22,41949.28
BTC,3/11/22,39431.40
BTC,3/12/22,38654.02
BTC,3/13/22,38815.56
BTC,3/14/22,37793.40
BTC,3/15/22,39678.51
BTC,3/16/22,39298.11
BTC,3/17/22,41127.96
BTC,3/18/22,40950.23
BTC,3/19/22,41781.37
BTC,3/20/22,42232.05
BTC,3/21/22,41287.24
BTC,3/22/22,41017.70
BTC,3/23/22,42376.03
BTC,3/24/22,42899.71
BTC,3/25/22,44012.36
BTC,3/26/22,44336.19
BTC,3/27/22,44538.21
BTC,3/28/22,46850.01
BTC,3/29/22,47146.92
BTC,3/30/22,47448.41
BTC,3/31/22,47078.02
BTC,4/1/22,45525.25
BTC,4/2/22,46296.36
